"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
Mutare,Mutare South,Mutare RDC,21,Nyamidzi Business Centre Tent,7500MTR2105,2,72,0,0,0,2,0,1,0,0,0,0,0,0,170,1,1,0,0,0,0,0,0,8,0,257,249
,,,,5  POLLING STATIONS,WARD TOTAL,4,577,2,1,1,13,8,12,0,1,0,0,0,1,965,7,2,0,1,1,1,0,2,45,0,1644,1599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,22,Chipendeke Primary School,7500MTR2201,1,77,1,0,0,2,3,1,0,1,1,0,1,0,504,1,0,0,0,2,0,0,3,23,0,621,598
Mutare,Mutare South,Mutare RDC,22,Gutaurare Primary School,7500MTR2202,2,197,2,0,0,2,2,2,1,0,0,0,0,0,383,7,0,1,0,1,0,0,1,14,0,615,601
Mutare,Mutare South,Mutare RDC,22,Himalaya Primary School,7500MTR2203,0,46,1,0,0,0,0,2,0,0,1,0,0,1,183,1,0,0,0,0,0,1,1,4,0,241,237
Mutare,Mutare South,Mutare RDC,22,K Shopping Centre Tent,7500MTR2204,0,59,1,0,0,1,1,0,0,1,0,0,0,1,223,1,0,0,0,1,0,0,3,6,0,298,292
Mutare,Mutare South,Mutare RDC,22,Manzununu Primary School A,7500MTR2205 A,1,124,1,0,0,1,1,3,0,1,0,0,0,0,297,3,0,0,1,1,1,0,0,8,0,443,435
Mutare,Mutare South,Mutare RDC,22,Manzununu Primary School B,7500MTR2205 B,4,106,2,0,0,2,1,1,0,1,0,0,0,0,307,1,0,0,0,0,0,0,1,7,0,433,426
Mutare,Mutare South,Mutare RDC,22,Mutsiyabako Primary School,7500MTR2206,4,54,1,0,0,0,1,1,0,0,0,0,0,1,212,2,0,1,0,0,0,2,1,4,0,284,280
Mutare,Mutare South,Mutare RDC,22,Ndorwe Primary School,7500MTR2207,2,35,0,0,0,1,5,1,0,0,1,0,0,0,271,0,0,0,0,1,1,2,0,4,0,324,320
Mutare,Mutare South,Mutare RDC,22,Rufuka Camp Tent,7500MTR2208,1,23,0,0,0,2,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,1,0,4,0,158,154
Mutare,Mutare South,Mutare RDC,22,Block A Tent,7500MTR2209,0,8,1,0,0,0,0,0,1,0,0,0,2,0,62,0,0,0,1,2,0,1,0,2,0,80,78
Mutare,Mutare South,Mutare RDC,22,Village 4 Business Centre Tent,7500MTR2210,1,40,0,0,0,0,0,0,0,1,0,0,0,0,153,1,0,0,0,0,0,0,1,4,0,201,197
,,,,11  POLLING STATIONS,WARD TOTAL,16,769,10,0,0,11,14,11,2,5,3,0,3,3,2722,17,0,2,2,8,2,7,11,80,0,3698,3618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,26,Bvirindi Business Centre Tent,7500MTR2601,0,85,0,0,0,2,0,2,0,0,0,0,0,0,204,0,1,0,0,0,0,0,0,3,0,297,294
Mutare,Mutare South,Mutare RDC,26,Mabiya Primary School,7500MTR2602,2,71,1,0,0,0,2,1,0,0,0,0,1,0,163,0,0,2,0,0,1,0,0,6,0,250,244
Mutare,Mutare South,Mutare RDC,26,Nyakunu Primary School,7500MTR2603,1,80,1,1,0,0,0,3,0,0,0,0,0,0,144,4,0,0,0,1,0,0,0,4,0,239,235
Mutare,Mutare South,Mutare RDC,26,Shitabho Business Centre Tent,7500MTR2604,0,73,0,0,0,1,1,1,0,2,0,0,0,0,106,0,0,1,1,0,0,1,0,2,0,189,187
,,,,4  POLLING STATIONS,WARD TOTAL,3,309,2,1,0,3,3,7,0,2,0,0,1,0,617,4,1,3,1,1,1,1,0,15,0,975,960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,27,Chimhenga Business Centre Tent,7500MTR2701,0,166,1,0,0,0,1,3,0,0,0,0,0,1,239,1,0,1,0,0,0,0,0,3,0,416,413
Mutare,Mutare South,Mutare RDC,27,Manzinde Primary School,7500MTR2702,0,136,0,0,0,1,2,4,0,1,0,0,1,0,182,1,0,1,0,0,1,0,0,11,0,341,330
Mutare,Mutare South,Mutare RDC,27,Muromo Primary School,7500MTR2703,1,91,0,0,0,3,1,5,0,1,0,0,0,0,214,2,0,0,0,0,1,1,0,11,0,331,320
Mutare,Mutare South,Mutare RDC,27,Rimiti Business Centre Tent,7500MTR2704,0,238,0,0,1,0,1,3,0,0,0,1,0,0,215,2,0,0,0,0,1,1,0,9,0,472,463
,,,,4  POLLING STATIONS,WARD TOTAL,1,631,1,0,1,4,5,15,0,2,0,1,1,1,850,6,0,2,0,0,3,2,0,34,0,1560,1526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,32,Roman Catholic Church,7500MTR3201,1,380,0,0,0,1,0,2,1,0,0,0,1,0,195,0,0,0,0,0,0,0,0,4,0,585,581
Mutare,Mutare South,Mutare RDC,32,Zimunya Primary School A,7500MTR3202 A,1,352,0,0,0,0,0,2,0,0,0,0,0,1,236,2,0,3,0,0,0,1,0,2,0,600,598
Mutare,Mutare South,Mutare RDC,32,Zimunya Primary School B,7500MTR3202 B,0,380,0,0,0,0,1,0,0,2,0,0,0,0,220,1,0,1,0,3,0,0,0,3,0,611,608
Mutare,Mutare South,Mutare RDC,32,Zimunya Secondary School,7500MTR3203,3,233,0,0,0,0,1,2,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,4,0,420,416
,,,,4  POLLING STATIONS,WARD TOTAL,5,1345,0,0,0,1,2,6,1,2,0,0,1,1,828,3,0,4,0,3,0,1,0,13,0,2216,2203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,33,Bomponi Business Centre Tent,7500MTR3301,2,155,5,0,1,3,2,10,0,1,1,1,1,0,254,4,1,0,0,0,2,1,1,16,0,461,445
Mutare,Mutare South,Mutare RDC,33,Bvumba/Vumba Primary School,7500MTR3302,6,208,2,0,0,1,2,7,1,0,0,0,0,0,142,2,0,5,0,0,0,0,0,6,0,382,376
Mutare,Mutare South,Mutare RDC,33,Eagle Training Centre,7500MTR3303,0,40,0,0,0,0,0,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,125,125
Mutare,Mutare South,Mutare RDC,33,Excelsior Primary School,7500MTR3304,0,63,1,0,0,0,0,2,0,2,0,0,1,1,49,1,0,1,1,0,0,0,0,1,0,123,122
Mutare,Mutare South,Mutare RDC,33,Glenburn Primary School,7500MTR3305,1,146,0,0,0,1,1,1,0,0,0,0,0,0,85,1,0,1,0,0,0,0,0,5,0,242,237
Mutare,Mutare South,Mutare RDC,33,Madziro Business Centre Tent,7500MTR3306,1,157,0,0,0,0,1,1,1,1,0,0,0,0,123,0,1,0,0,0,1,0,0,3,0,290,287
Mutare,Mutare South,Mutare RDC,33,Mutore Primary School,7500MTR3307,1,160,0,0,0,3,3,0,0,0,0,0,0,0,221,4,0,1,0,0,1,0,0,13,0,407,394
Mutare,Mutare South,Mutare RDC,33,ST Weirboughs Primary School,7500MTR3308,2,77,1,0,0,0,0,2,0,0,1,0,0,0,272,3,3,0,1,1,1,0,1,27,0,392,365
Mutare,Mutare South,Mutare RDC,33,Valahala Primary School,7500MTR3309,4,59,0,0,0,2,1,1,0,0,0,0,1,0,61,0,0,0,0,0,0,1,1,9,0,140,131
,,,,9 POLLING STATIONS,WARD TOTAL,17,1065,9,0,1,10,10,25,2,4,2,1,3,1,1291,15,5,8,2,1,5,2,3,80,0,2562,2482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare South,Mutare RDC,36,Derembwe Primary School,7500MTR3601,1,216,0,0,0,0,1,2,0,1,0,0,0,0,211,2,0,1,1,0,0,0,0,8,0,444,436
Mutare,Mutare South,Mutare RDC,36,Dzobo Primary School,7500MTR3602,3,156,1,0,0,0,1,2,0,0,0,0,0,2,335,3,0,1,1,0,0,1,0,16,0,522,506
Mutare,Mutare South,Mutare RDC,36,St John's Anglican Church,7500MTR3603,2,121,0,0,0,2,1,3,0,0,0,0,0,0,323,0,0,2,0,0,0,0,0,9,0,463,454
Mutare,Mutare South,Mutare RDC,36,25 Miles Business Centre Tent,7500MTR3604,0,53,0,0,0,1,0,0,0,0,0,0,0,0,31,1,0,0,0,0,0,0,0,2,0,88,86
,,,,4 POLLING STATIONS,WARD TOTAL,6,546,1,0,0,3,3,7,0,1,0,0,0,2,900,6,0,4,2,0,0,1,0,35,0,1517,1482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,                MUTARE SOUTH CONSTITUENCY TOTALS,,,145,13304,94,15,15,91,87,280,17,33,13,12,20,25,14571,143,19,51,27,38,34,31,37,552,1,29654,29102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,10,Bemhiwa Primary School,7500MTR1001,5,131,2,1,2,0,2,7,0,1,1,0,0,0,282,6,1,2,1,0,0,0,1,10,0,455,445
Mutare,Mutare West,Mutare RDC,10,Domboshawa Sub Office,7500MTR1002,4,248,0,1,1,3,0,8,0,0,0,1,0,0,339,1,0,1,2,1,0,1,3,6,0,620,614
Mutare,Mutare West,Mutare RDC,10,Mt Makomwe Primary School,7500MTR1003,6,341,4,0,0,2,1,10,2,2,1,0,0,1,180,5,2,2,0,0,0,4,0,9,0,572,563
Mutare,Mutare West,Mutare RDC,10,Muwangirwa Primary School,7500MTR1004,8,179,4,0,0,0,1,3,2,0,1,1,0,0,303,5,1,0,2,2,0,0,1,8,0,521,513
Mutare,Mutare West,Mutare RDC,10,Zedza Primary School,7500MTR1005,1,128,1,0,0,1,5,5,0,0,0,0,0,0,217,1,0,1,0,0,0,0,0,8,0,368,360
,,,,5 POLLING STATIONS,WARD TOTAL,24,1027,11,2,3,6,9,33,4,3,3,2,0,1,1321,18,4,6,5,3,0,5,5,41,0,2536,2495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,16,Mafararikwa Primary School A,7500MTR1601 A,3,127,3,0,2,4,1,1,0,0,2,0,0,0,384,3,1,1,1,1,0,0,0,5,0,539,534
Mutare,Mutare West,Mutare RDC,16,Mafararikwa Primary School B,7500MTR1601 B,1,151,1,0,0,4,0,11,1,0,0,0,0,0,324,5,5,2,0,0,0,1,2,18,0,526,508
Mutare,Mutare West,Mutare RDC,16,Maponde Primary School,7500MTR1603,6,110,2,1,0,2,1,7,0,0,0,0,0,2,264,1,1,3,0,0,0,1,0,23,0,424,401
Mutare,Mutare West,Mutare RDC,16,Nyangani Primary School,7500MTR1604,3,65,2,0,0,5,3,4,0,1,0,0,0,1,483,0,1,0,0,0,2,0,4,9,0,583,574
Mutare,Mutare West,Mutare RDC,16,Nzvenga Primary School,7500MTR1605,6,252,1,0,1,3,1,7,1,1,0,0,0,0,190,8,1,0,1,0,1,0,0,8,0,482,474
Mutare,Mutare West,Mutare RDC,16,St Noah Primary School A,7500MTR1606 A,3,54,1,0,0,4,0,1,0,0,1,0,0,0,549,3,0,1,4,2,0,0,2,19,0,644,625
Mutare,Mutare West,Mutare RDC,16,St Noah Primary School B,7500MTR1606 B,1,47,0,0,0,3,0,2,1,2,0,2,0,0,579,0,1,0,1,1,0,0,1,5,0,646,641
Mutare,Mutare West,Mutare RDC,16,Zvipiripiri Primary School A,7500MTR1607 A,9,60,0,0,0,3,1,5,0,0,0,0,0,0,446,3,0,3,2,3,0,0,2,24,0,561,537
Mutare,Mutare West,Mutare RDC,16,Zvipiripiri Primary School B,7500MTR1607 B,6,85,0,0,0,2,5,5,0,1,0,1,0,1,446,2,3,0,2,2,1,0,0,26,0,588,562
,,,,9 POLLING STATIONS,WARD TOTAL,38,951,10,1,3,30,12,43,3,5,3,3,0,4,3665,25,13,10,11,9,4,2,11,137,0,4993,4856
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,17,Bakorenhema Clinic Tent,7500MTR1701,3,141,1,0,0,1,0,1,1,0,0,0,1,0,307,0,0,2,1,0,0,2,1,5,0,467,462
Mutare,Mutare West,Mutare RDC,17,Chikwariro Primary School,7500MTR1702,4,217,2,1,0,3,1,3,1,1,0,0,0,1,413,1,0,0,3,0,0,2,0,13,0,666,653
Mutare,Mutare West,Mutare RDC,17,Marewo Primary School,7500MTR1703,0,101,4,1,0,3,5,3,0,0,0,1,0,0,262,1,0,0,3,0,0,0,0,7,0,391,384
Mutare,Mutare West,Mutare RDC,17,Nharira Primary School,7500MTR1704,4,165,8,1,1,2,6,3,0,1,1,0,0,0,341,6,0,0,3,0,3,0,0,10,0,555,545
,,,,4 POLLING STATIONS,WARD TOTAL,11,624,15,3,1,9,12,10,2,2,1,1,1,1,1323,8,0,2,10,0,3,4,1,35,0,2079,2044
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,18,Karirwi Primary School,7500MTR1801,2,222,5,0,0,0,0,7,0,0,0,0,0,1,485,3,2,0,2,0,0,0,0,16,1,745,729
Mutare,Mutare West,Mutare RDC,18,Matanda Primary School A,7500MTR1803 A,1,174,5,0,0,2,1,1,1,0,1,0,0,0,292,1,1,2,2,2,0,2,2,6,0,496,490
Mutare,Mutare West,Mutare RDC,18,Matanda Primary School B,7500MTR1803 B,0,175,2,0,1,0,0,3,0,0,0,0,1,0,300,1,1,1,3,1,1,0,0,7,0,497,490
Mutare,Mutare West,Mutare RDC,18,Muchisi Primary School,7500MTR1805,2,151,3,1,0,2,1,2,1,1,0,0,0,0,288,0,2,1,10,0,0,0,0,6,0,471,465
Mutare,Mutare West,Mutare RDC,18,Munyoro Primary School,7500MTR1806,3,154,0,0,0,1,0,9,0,0,0,0,0,0,225,1,0,0,8,0,0,0,0,3,0,404,401
,,,,5 POLLING STATIONS,WARD TOTAL,8,876,15,1,1,5,2,22,2,1,1,0,1,1,1590,6,6,4,25,3,1,2,2,38,1,2613,2575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,19,Bwizi Primary School,7500MTR1901,1,190,5,0,0,2,1,7,0,0,1,0,2,0,379,3,2,1,0,4,1,1,0,10,0,610,600
Mutare,Mutare West,Mutare RDC,19,Murehwa Primary School,7500MTR1903,7,287,3,0,0,1,2,13,0,1,1,1,1,0,433,3,4,1,1,1,0,1,2,24,0,787,763
Mutare,Mutare West,Mutare RDC,19,Mutimba Primary School,7500MTR1904,1,165,2,0,0,1,0,7,0,0,0,0,0,0,322,5,0,0,0,0,0,1,0,4,0,508,504
,,,,3 POLLING STATIONS,WARD TOTAL,9,642,10,0,0,4,3,27,0,1,2,1,3,0,1134,11,6,2,1,5,1,3,2,38,0,1905,1867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,23,Chigonda Primary School,7500MTR2301,3,212,3,1,0,3,3,7,0,1,0,1,0,0,410,3,3,1,5,5,0,0,0,18,0,679,661
Mutare,Mutare West,Mutare RDC,23,Chikuku Primary School,7500MTR2302,4,152,2,0,0,0,0,3,1,0,0,0,0,0,196,4,2,1,0,0,0,0,0,8,0,373,365
Mutare,Mutare West,Mutare RDC,23,Maanhu Primary School A,7500MTR2303 A,3,130,1,0,0,2,1,5,2,2,0,0,0,0,237,3,1,0,2,1,0,1,2,15,0,408,393
Mutare,Mutare West,Mutare RDC,23,Maanhu Primary School B,7500MTR2303 B,2,129,4,0,1,1,2,5,0,0,0,2,0,1,262,4,1,1,0,3,1,1,1,12,0,433,421
Mutare,Mutare West,Mutare RDC,23,Mapfunde Primary School,7500MTR2304,2,117,3,0,0,2,1,4,0,0,1,0,0,3,329,5,2,0,0,0,0,0,0,7,0,476,469
,,,,5 POLLING STATIONS,WARD TOTAL,14,740,13,1,1,8,7,24,3,3,1,3,0,4,1434,19,9,3,7,9,1,2,3,60,0,2369,2309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,24,Chapeyama Primary School,7500MTR2401,1,129,4,0,0,4,1,2,1,0,0,1,0,0,484,1,4,2,1,1,0,0,0,15,0,651,636
Mutare,Mutare West,Mutare RDC,24,Mavhiza Primary School,7500MTR2402,6,210,1,1,0,2,2,5,0,0,1,0,0,0,319,7,3,0,0,1,1,0,0,6,0,565,559
Mutare,Mutare West,Mutare RDC,24,Mutsago Primary School,7500MTR2403,1,281,0,0,0,1,1,4,0,0,1,0,1,0,372,4,0,0,2,0,0,0,1,8,0,677,669
Mutare,Mutare West,Mutare RDC,24,St Andrews Mission,7500MTR2405,1,267,1,0,0,0,1,6,0,0,0,1,0,0,214,1,0,0,1,1,1,0,0,5,0,500,495
Mutare,Mutare West,Mutare RDC,24,DDF Rest Camp Assembly,7500MTR2406,2,194,2,0,0,1,1,4,0,1,0,1,0,1,222,2,1,1,2,0,0,0,0,14,0,449,435
,,,,5 POLLING STATIONS,WARD TOTAL,11,1081,8,1,0,8,6,21,1,1,2,3,1,1,1611,15,8,3,6,3,2,0,1,48,0,2842,2794
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,25,Mabvengwa Primary School,7500MTR2501,2,184,2,1,0,5,2,4,0,0,0,0,1,2,346,2,1,2,6,2,2,1,1,13,0,579,566
Mutare,Mutare West,Mutare RDC,25,Makunika Primary School,7500MTR2502,7,223,1,0,1,5,0,4,0,1,0,0,0,2,386,8,3,2,3,0,2,0,0,9,0,657,648
Mutare,Mutare West,Mutare RDC,25,Masvaure Primary School,7500MTR2503,5,235,7,0,0,3,1,6,1,1,0,0,1,1,457,6,0,1,1,0,0,1,3,16,0,746,730
,,,,3 POLLING STATIONS,WARD TOTAL,14,642,10,1,1,13,3,14,1,2,0,0,2,5,1189,16,4,5,10,2,4,2,4,38,0,1982,1944
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,28,Daure Primary School,7500MTR2801,3,130,2,0,0,1,1,4,0,0,0,0,0,0,174,1,2,4,0,0,2,0,1,7,0,332,325
Mutare,Mutare West,Mutare RDC,28,Mangatu Primary School,7500MTR2804,2,134,1,0,0,1,2,2,0,1,1,2,0,1,200,4,1,2,6,0,2,2,0,8,0,372,364
Mutare,Mutare West,Mutare RDC,28,Masasi Primary School,7500MTR2805,2,205,1,0,1,2,0,3,0,0,0,0,0,1,237,4,1,1,0,0,1,0,2,7,0,468,461
Mutare,Mutare West,Mutare RDC,28,Mutohonwa Primary School,7500MTR2806,0,120,0,2,2,0,0,0,0,0,1,0,0,0,147,2,1,0,2,0,1,0,0,0,0,278,278
Mutare,Mutare West,Mutare RDC,28,Matiza Clinic Tent,7500MTR2807,9,177,0,0,0,2,0,6,0,0,0,2,1,0,232,2,1,0,1,2,0,1,0,14,0,450,436
,,,,5 POLLING STATIONS,WARD TOTAL,16,766,4,2,3,6,3,15,0,1,2,4,1,2,990,13,6,7,9,2,6,3,3,36,0,1900,1864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,29,Betera Primary School,7500MTR2901,5,359,4,0,0,3,2,4,0,1,0,0,1,0,331,4,0,0,4,0,0,0,0,11,0,729,718
Mutare,Mutare West,Mutare RDC,29,Chikara Primary School,7500MTR2902,1,85,0,0,1,0,0,3,1,0,0,0,0,1,210,3,1,0,1,0,0,1,0,6,0,314,308
Mutare,Mutare West,Mutare RDC,29,Chishingwi Primary School,7500MTR2903,1,305,2,0,0,3,2,6,1,0,0,0,0,0,194,3,1,2,2,0,2,1,0,9,0,534,525
Mutare,Mutare West,Mutare RDC,29,Kurauone Primary School,7500MTR2904,2,142,3,1,1,2,0,9,0,1,1,0,0,1,309,2,1,0,0,0,0,1,0,8,0,484,476
Mutare,Mutare West,Mutare RDC,29,Kusena Primary School,7500MTR2905,5,142,2,0,0,3,3,2,0,1,0,1,0,0,459,3,1,0,1,2,0,1,0,8,0,634,626
Mutare,Mutare West,Mutare RDC,29,Mukwada Primary School,7500MTR2906,4,426,1,1,1,3,1,10,0,0,0,1,0,0,173,3,1,1,3,2,0,1,2,10,0,644,634
,,,,6 POLLING STATIONS,WARD TOTAL,18,1459,12,2,3,14,8,34,2,3,1,2,1,2,1676,18,5,3,11,4,2,5,2,52,0,3339,3287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutare,Mutare West,Mutare RDC,30,Banda Primary School,7500MTR3001,0,236,2,0,0,0,4,6,1,0,0,2,0,11,372,7,1,1,1,1,0,1,2,17,0,665,648
Mutare,Mutare West,Mutare RDC,30,Chiadzwa Primary School,7500MTR3002,2,192,3,0,0,4,2,5,0,0,0,0,0,0,306,2,0,1,1,0,0,0,0,8,0,526,518
Mutare,Mutare West,Mutare RDC,30,Chibiya Primary School,7500MTR3003,2,150,2,0,1,1,0,4,0,0,0,0,1,0,73,0,0,0,0,0,1,0,0,5,0,240,235
Mutare,Mutare West,Mutare RDC,30,Chipindirwe Primary School,7500MTR3004,2,152,1,0,1,1,0,6,0,0,0,0,0,1,150,2,0,0,2,1,0,0,0,4,0,323,319
Mutare,Mutare West,Mutare RDC,30,Gonora Primary School,7500MTR3005,1,137,2,1,1,0,0,6,0,0,0,0,0,1,129,1,0,0,2,0,0,0,0,5,0,286,281
Mutare,Mutare West,Mutare RDC,30,Tonhorai Primary School,7500MTR3006,6,358,1,0,0,1,1,3,1,1,0,0,1,0,249,1,0,0,1,1,0,1,2,6,0,634,628
Mutare,Mutare West,Mutare RDC,30,Rombe Primary School,7500MTR3007,1,49,2,0,0,0,0,2,0,0,1,0,0,0,107,1,0,0,0,0,0,0,0,6,0,169,163
,,,,7 POLLING STATIONS,WARD TOTAL,14,1274,13,1,3,7,7,32,2,1,1,2,2,13,1386,14,1,2,7,3,1,2,4,51,0,2843,2792
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MUTARE WEST CONSTITUENCY TOTALS,,,177,10082,121,15,19,110,72,275,20,23,17,21,12,34,17319,163,62,47,102,43,25,30,38,574,1,29401,28827
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyanga,Nyanga North,Nyanga RDC,1,Chimusasa Primary School,3400NGA0101,4,67,2,1,0,3,0,1,0,0,0,0,1,0,274,0,0,1,0,0,0,0,1,9,0,364,355
Nyanga,Nyanga North,Nyanga RDC,1,Fombe Primary School,3400NGA0102,3,81,0,0,0,1,0,6,0,0,0,0,0,1,415,1,0,0,1,2,0,2,1,19,0,533,514
Nyanga,Nyanga North,Nyanga RDC,1,Kodzaimambo Primary School,3400NGA0103,4,249,0,0,1,0,1,4,0,0,0,0,0,1,373,3,0,1,3,0,0,0,2,15,0,657,642
Nyanga,Nyanga North,Nyanga RDC,1,Mudzudza ECD Tent,3400NGA0104,2,64,0,0,0,2,0,0,0,0,1,0,0,0,64,1,0,0,0,0,0,1,1,4,0,140,136
,,,,4 POLLING STATIONS,WARD TOTAL,13,461,2,1,1,6,1,11,0,0,1,0,1,2,1126,5,0,2,4,2,0,3,5,47,0,1694,1647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyanga,Nyanga North,Nyanga RDC,2,Avilla Mission School A,3400NGA0201 A,4,154,4,0,1,2,3,9,0,1,0,0,1,1,578,2,1,1,9,2,1,2,1,16,0,793,777
Nyanga,Nyanga North,Nyanga RDC,2,Avilla Mission School B,3400NGA0201 B,3,137,2,1,1,3,3,2,0,0,0,0,0,4,581,0,0,0,0,2,2,1,4,25,0,771,746
Nyanga,Nyanga North,Nyanga RDC,2,Chifambe Primary School,3400NGA0202,2,154,4,1,0,1,0,1,0,1,0,0,1,0,155,2,0,1,3,1,0,1,1,8,0,337,329
Nyanga,Nyanga North,Nyanga RDC,2,Mangezi Primary School,3400NGA0203,0,47,0,0,1,0,0,1,0,0,0,0,0,1,219,0,0,0,0,0,0,0,0,3,0,272,269
Nyanga,Nyanga North,Nyanga RDC,2,Renzva Primary School,3400NGA0204,1,84,2,0,0,1,1,1,0,0,0,0,0,0,199,0,0,0,1,0,1,1,1,4,0,297,293
,,,,5 POLLING STATIONS,WARD TOTAL,10,576,12,2,3,7,7,14,0,2,0,0,2,6,1732,4,1,2,13,5,4,5,7,56,0,2470,2414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyanga,Nyanga North,Nyanga RDC,3,Katerere Primary School,3400NGA0301,0,179,1,0,0,0,1,8,0,0,1,0,1,1,245,2,0,2,1,0,1,0,0,7,0,450,443
Nyanga,Nyanga North,Nyanga RDC,3,Kazozo Primary School A,3400NGA0302 A,4,177,2,0,0,1,2,2,0,0,0,0,0,0,288,5,0,1,2,2,2,1,0,11,0,500,489
Nyanga,Nyanga North,Nyanga RDC,3,Kazozo Primary School B,3400NGA0302 B,4,182,0,1,0,6,0,6,0,0,0,0,2,1,268,2,1,0,4,2,1,0,2,14,0,496,482
Nyanga,Nyanga North,Nyanga RDC,3,Mukunza Primary School A,3400NGA0303 A,5,109,2,0,1,2,0,6,1,0,0,0,0,0,305,1,0,2,1,0,0,2,1,9,1,447,438
Nyanga,Nyanga North,Nyanga RDC,3,Mukunza Primary School B,3400NGA0303 B,4,107,0,0,1,1,0,10,0,0,1,0,0,1,323,2,0,1,2,0,0,0,1,6,0,460,454
,,,,5 POLLING STATIONS,WARD TOTAL,17,754,5,1,2,10,3,32,1,0,2,0,3,3,1429,12,1,6,10,4,4,3,4,47,1,2353,2306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyanga,Nyanga North,Nyanga RDC,4,Bunganirwe Primary School Tent,3400NGA0401,2,87,0,0,1,0,0,1,0,0,0,0,0,0,190,1,0,0,0,0,0,0,0,2,0,284,282
Nyanga,Nyanga North,Nyanga RDC,4,Kanyimo Primary School,3400NGA0402,1,149,0,0,0,1,0,2,0,0,0,0,0,0,187,2,0,0,0,0,1,0,0,1,0,344,343
Nyanga,Nyanga North,Nyanga RDC,4,Manjanja Primary School,3400NGA0403,0,226,1,0,0,0,1,2,0,0,0,0,0,0,108,3,0,1,0,0,0,0,0,5,0,347,342
